time,open,high,low,close
1970-02-02,34.99,34.99,34.99,34.99
1970-03-02,35.09,35.09,35.09,35.09
1970-04-01,35.62,35.62,35.62,35.62
1970-05-01,35.95,35.95,35.95,35.95
1970-06-01,35.44,35.44,35.44,35.44
1970-07-01,35.32,35.32,35.32,35.32
1970-08-03,35.38,35.38,35.38,35.38
1970-09-01,36.19,36.19,36.19,36.19
1970-10-01,37.52,37.52,37.52,37.52
1970-11-02,37.44,37.44,37.44,37.44
1970-12-01,37.44,37.44,37.44,37.44
1971-01-01,37.87,37.87,37.87,37.87
1971-02-01,38.74,38.74,38.74,38.74
1971-03-01,38.87,38.87,38.87,38.87
1971-04-01,39.01,39.01,39.01,39.01
1971-05-03,40.52,40.52,40.52,40.52
1971-06-01,40.1,40.1,40.1,40.1
1971-07-01,40.95,40.95,40.95,40.95
1971-08-02,42.73,42.73,42.73,42.73
1971-09-01,42.02,42.02,42.02,42.02
1971-10-01,42.5,42.5,42.5,42.5
1971-11-01,42.86,42.86,42.86,42.86
1971-12-01,43.48,43.48,43.48,43.48
1972-01-03,45.75,45.75,45.75,45.75
1972-02-01,48.26,48.26,48.26,48.26
1972-03-01,48.33,48.33,48.33,48.33
1972-04-03,49.03,49.03,49.03,49.03
1972-05-01,54.62,54.62,54.62,54.62
1972-06-01,62.09,62.09,62.09,62.09
1972-07-03,65.67,65.67,65.67,65.67
1972-08-01,67.03,67.03,67.03,67.03
1972-09-01,65.47,65.47,65.47,65.47
1972-10-02,64.86,64.86,64.86,64.86
1972-11-01,62.91,62.91,62.91,62.91
1972-12-01,63.91,63.91,63.91,63.91
1973-01-01,65.14,65.14,65.14,65.14
1973-02-01,74.2,74.2,74.2,74.2
1973-03-01,84.37,84.37,84.37,84.37
1973-04-02,90.5,90.5,90.5,90.5
1973-05-01,101.96,101.96,101.96,101.96
1973-06-01,120.12,120.12,120.12,120.12
1973-07-02,120.17,120.17,120.17,120.17
1973-08-01,106.76,106.76,106.76,106.76
1973-09-03,102.97,102.97,102.97,102.97
1973-10-01,100.08,100.08,100.08,100.08
1973-11-01,94.82,94.82,94.82,94.82
1973-12-03,106.72,106.72,106.72,106.72
1974-01-01,129.19,129.19,129.19,129.19
1974-02-01,150.23,150.23,150.23,150.23
1974-03-01,168.42,168.42,168.42,168.42
1974-04-01,172.24,172.24,172.24,172.24
1974-05-01,163.27,163.27,163.27,163.27
1974-06-03,154.1,154.1,154.1,154.1
1974-07-01,142.98,142.98,142.98,142.98
1974-08-01,154.64,154.64,154.64,154.64
1974-09-02,151.77,151.77,151.77,151.77
1974-10-01,158.78,158.78,158.78,158.78
1974-11-01,181.66,181.66,181.66,181.66
1974-12-02,183.85,183.85,183.85,183.85
1975-01-01,175,180.25,169.5,175.8
1975-02-03,176.25,185.25,173.4,181.75
1975-03-03,181.85,181.85,176.25,178.16
1975-04-01,177.25,177.25,164,167
1975-05-01,166,174.75,163.5,167
1975-06-02,161.75,166.25,161.75,166.25
1975-07-01,166.5,168.4,162.5,166.7
1975-08-01,166.75,166.75,159.8,159.8
1975-09-01,155,155,128.75,141.25
1975-10-01,143.5,146.25,138.9,142.9
1975-11-03,143.25,145.9,138.15,138.15
1975-12-01,137.9,142.4,137.25,140.25
1976-01-01,140.35,140.35,124.6,128.15
