公表日,時間,結果,予想,前回
2010/1,0:00,58.4,55.2,54.9
2010/2,0:00,56.5,58,58.4
2010/3,23:00,59.6,57,56.5
2010/4,23:00,60.4,60,59.6
2010/5,23:00,59.7,58.9,60.4
2010/6,23:00,56.2,59,59.7
2010/7,23:00,55.5,54.2,56.2
2010/8,23:00,56.3,53,55.5
2010/9,23:00,54.4,54.5,56.3
2010/10,23:00,56.9,53.6,54.4
2010/11,0:00,56.6,56.4,56.9
2010/12,0:00,57,57.3,56.6
2011/1,0:00,60.8,58.2,58.5
2011/2,0:00,61.4,60.9,60.8
2011/3,23:00,61.2,61,61.4
2011/4,23:00,60.4,59.7,61.2
2011/5,23:00,53.5,57.5,60.4
2011/6,23:00,55.3,51.5,53.5
2011/7,23:00,50.9,54.8,55.3
2011/8,23:00,50.6,48.5,50.9
2011/9,23:00,51.6,50.5,50.6
2011/10,23:00,50.8,52.1,51.6
2011/11,0:00,52.7,51.5,50.8
2011/12,0:00,53.9,53.2,52.7
2012/1,0:00,54.1,54.5,53.9
2012/2,0:00,52.4,54.6,54.1
2012/3,23:00,53.4,53,52.4
2012/4,23:00,54.8,53,53.4
2012/5,23:00,53.5,53.9,54.8
2012/6,23:00,49.7,52,53.5
2012/7,23:00,49.8,50.2,49.7
2012/8,23:00,49.6,50,49.8
2012/9,23:00,51.5,49.7,49.6
2012/10,23:00,51.7,51.2,51.5
2012/11,0:00,49.5,51.3,51.7
2012/12,0:00,50.7,50.3,49.5
2013/1,0:00,53.1,50.6,50.2
2013/2,0:00,54.2,52.5,53.1
2013/3,23:00,51.3,54.2,54.2
2013/4,23:00,50.7,50.9,51.3
2013/5,23:00,49,50.7,50.7
2013/6,23:00,50.9,50.5,49
2013/7,23:00,55.4,52,50.9
2013/8,23:00,55.7,54,55.4
2013/9,23:00,56.2,55,55.7
2013/10,23:00,56.4,55,56.2
2013/11,0:00,57.3,55,56.4
2013/12,0:00,57,57,57.3
2014/1,0:00,51.3,56.4,57
2014/2,0:00,53.2,52,51.3
2014/3,23:00,53.7,54,53.2
2014/4,23:00,54.9,54.3,53.7
2014/5,23:00,55.4,55.5,54.9
2014/6,23:00,55.3,55.8,55.4
2014/7,23:00,57.1,56,55.3
2014/8,23:00,59,56.8,57.1
2014/9,23:00,56.6,58.5,59
2014/10,0:00,59,56.2,56.6
2014/11,0:00,58.7,57.9,59
2014/12,0:00,55.5,57.6,58.7
2015/1,0:00,53.5,54.5,55.5
2015/2,0:00,52.9,53,53.5
2015/3,23:00,51.5,52.5,52.9
2015/4,23:00,51.5,52,51.5
2015/5,23:00,52.8,52,51.5
2015/6,23:00,53.5,53.1,52.8
2015/7,22:25,52.7,53.5,53.5
2015/8,23:00,51.1,52.6,52.7
2015/9,23:00,50.2,50.6,51.1
2015/10,0:00,50.1,50,50.2
2015/11,0:00,48.6,50.5,50.1
2015/12,0:00,48.2,49,48.6
2016/1,0:00,48.2,48.1,48
2016/2,0:00,49.5,48.5,48.2
2016/3,23:00,51.8,50.7,49.5
2016/4,23:00,50.8,51.4,51.8
2016/5,23:00,51.3,50.4,50.8
2016/6,23:00,53.2,51.4,51.3
2016/7,23:00,52.6,53,53.2
2016/8,23:00,49.4,52,52.6
2016/9,23:00,51.5,50.3,49.4
2016/10,23:00,51.9,51.7,51.5
2016/11,0:00,53.2,52.2,51.9
2016/12,0:00,54.7,53.6,53.2
2017/1,0:00,56,55,54.5
2017/2,0:00,57.7,56,56
2017/3,23:00,57.2,57,57.7
2017/4,23:00,54.8,56.5,57.2
2017/5,23:00,54.9,54.5,54.8
2017/6,23:00,57.8,55.2,54.9
2017/7,23:00,56.3,56.5,57.8
2017/8,23:00,58.8,56.5,56.3
2017/9,23:00,60.8,58,58.8
2017/10,23:00,58.7,59.5,60.8
2017/11,0:00,58.2,58.4,58.7
2017/12,0:00,59.7,58.1,58.2
2018/1,0:00,59.1,58.8,59.7
2018/2,0:00,60.8,58.7,59.1
2018/3,23:00,59.3,60.1,60.8
2018/4,23:00,57.3,58.6,59.3
2018/5,23:00,58.7,58.2,57.3
2018/6,23:00,60.2,58.4,58.7
2018/7,23:00,58.1,59.4,60.2
2018/8,23:00,61.3,57.6,58.1
2018/9,23:00,59.8,60.1,61.3
2018/10,23:00,57.7,59,59.8
2018/11,0:00,59.3,57.6,57.7
2018/12,0:00,54.1,57.7,59.3
2019/1,0:00,56.6,54.2,54.3
2019/2,0:00,54.2,55.5,56.6
2019/3,23:00,55.3,54.5,54.2
2019/4,23:00,52.8,55,55.3
2019/5,23:00,52.1,53,52.8
2019/6,23:00,51.7,51,52.1
2019/7,23:00,51.2,52,51.7
2019/8,23:00,49.1,51.1,51.2
2019/9,23:00,47.8,50.4,49.1
2019/10,23:00,48.3,48.9,47.8
2019/11,0:00,48.1,49.2,48.3
2019/12,0:00,47.2,49,48.1
2020/1,0:00,50.9,48.5,47.8
2020/2,0:00,50.1,50.5,50.9
2020/3,23:00,49.1,45,50.1
2020/4,23:00,41.5,36.9,49.1
2020/5,23:00,43.1,43,41.5
2020/6,23:00,52.6,49.5,43.1
2020/7,23:00,54.2,53.6,52.6
2020/8,23:00,56,54.5,54.2
2020/9,23:00,55.4,56.4,56
2020/10,0:00,59.3,55.8,55.4
2020/11,0:00,57.5,58,59.3
2020/12,0:00,60.7,56.6,57.5
2021/1,0:00,58.7,60,60.5
2021/2,0:00,60.8,58.8,58.7
2021/3,23:00,64.7,61.3,60.8
2021/4,23:00,60.7,65,64.7
2021/5,23:00,61.2,60.9,60.7
2021/6,23:00,60.6,61,61.2
2021/7,23:00,59.5,60.9,60.6
2021/8,23:00,59.9,58.6,59.5
2021/9,23:00,61.1,59.6,59.9
2021/10,23:00,60.8,60.5,61.1
2021/11,0:00,61.1,61,60.8
2021/12,0:00,58.7,60,61.1
2022/1,0:00,57.6,57.5,58.8
2022/2,0:00,58.6,58,57.6
2022/3,23:00,57.1,59,58.6
2022/4,23:00,55.4,57.6,57.1
2022/5,23:00,56.1,54.5,55.4
2022/6,23:00,53,54.9,56.1
2022/7,23:00,52.8,52,53
2022/8,23:00,52.8,52,52.8
2022/9,23:00,50.9,52.2,52.8
2022/10,23:00,50.2,50,50.9
2022/11,0:00,49,49.8,50.2
2022/12,0:00,48.4,48.5,49
2023/1,0:00,47.4,48,48.4
2023/2,0:00,47.7,48,47.4
2023/3,23:00,46.3,47.5,47.7
2023/4,23:00,47.1,46.8,46.3
2023/5,23:00,46.9,47,47.1
2023/6,23:00,46,47.2,46.9
2023/7,23:00,46.4,46.8,46
2023/8,23:00,47.6,47,46.4
2023/9,23:00,49,47.7,47.6
2023/10,23:00,46.7,49,49
2023/11,0:00,46.7,47.6,46.7
2023/12,0:00,47.4,47.1,46.7
2024/1,0:00,49.1,47.2,47.1
2024/2,0:00,47.8,49.5,49.1
2024/3,23:00,50.3,48.5,47.8
2024/4,23:00,49.2,50,50.3
2024/5,23:00,48.7,49.8,49.2
2024/6,23:00,48.5,49.2,48.7
2024/7,23:00,46.8,48.8,48.5
2024/8,23:00,47.2,47.5,46.8
2024/9,23:00,47.2,47.6,47.2
2024/10,23:00,46.5,47.6,47.2
2024/11,0:00,48.4,47.7,46.5
2024/12,0:00,49.3,48.2,48.4
2025/1,0:00,50.9,49.3,49.2
2025/2,0:00,50.3,50.6,50.9
2025/3,23:00,49,49.5,50.3
2025/4,23:00,48.7,48,49
2025/5,23:00,48.5,49.3,48.7
2025/6,23:00,49,48.8,48.5
2025/7,23:00,48,49.5,49
2025/8,23:00,48.7,49,48
2025/9,23:00,49.1,49,48.7
2025/10,0:00,48.7,49.4,49.1
2025/11,0:00,48.2,49,48.7
