公表日,時間,結果,予想,前回
2015/1,,54.4,,54.2
2015/2,,57.2,,56.8
2015/3,,59.2,,58.5
2015/4,,57,,57.4
2015/5,,56,,56.1
2015/6,,54.6,,54.6
2015/7,,55.7,,55.2
2015/8,,55.7,,55
2015/9,,55,,55.3
2015/10,,55,,54.5
2015/11,,55.9,,56.1
2015/12,,54,,53.5
2016/1,,53.2,,53.7
2016/2,,50,,50.1
2016/3,,51.3,,51.1
2016/4,,52.4,,51.7
2016/5,,50.9,,50.8
2016/6,,51.2,,51.2
2016/7,,51.8,,51.5
2016/8,,51.5,,51.5
2016/9,,52.3,,52
2016/10,,54.9,,54.9
2016/11,,54.9,,54.9
2016/12,,54.1,,53.7
2017/1,,55.8,,55.4
2017/2,,54.1,,54.3
2017/3,,53,,53.2
2017/4,,53.2,52.5,52.7
2017/5,,53.6,54.3,53.9
2017/6,,53.9,52.1,53
2017/7,,54.6,55.1,54.2
2017/8,,55.3,55.8,56
2017/9,,54.8,54.9,54.6
2017/10,,55.2,55.2,55.7
2017/11,,54.5,54.8,54.6
2017/12,,54.1,53.7,53
2018/1,,53.8,53.9,53.8
2018/2,,55.8,55.5,55.9
2018/3,,54.2,54.1,54.3
2018/4,,54.9,55.2,54.8
2018/5,,56.6,54.8,55.7
2018/6,,56.2,55.3,56
2018/7,,55.7,56.4,55.9
2018/8,,54.7,55.8,55
2018/9,,53.9,54.1,53.4
2018/10,,54.9,55.6,54.8
2018/11,,54.7,54.6,54.4
2018/12,,54.4,53.1,53.6
2019/1,,54.4,54.5,54.5
2019/2,,55.5,55.8,55.8
2019/3,,54.6,54.3,54.3
2019/4,,53,52.8,52.8
2019/5,,50.9,50.9,50.9
2019/6,,51.5,50.6,50.6
2019/7,,52.6,51.6,51.6
2019/8,,50.7,50.9,50.9
2019/9,,51,51,51
2019/10,,50.9,51.2,51.2
2019/11,,52,51.9,51.9
2019/12,,52.7,52.2,52.2
2020/1,,53.3,53.1,53.1
2020/2,,49.6,49.6,49.6
2020/3,,40.9,40.5,40.5
2020/4,,27,27.4,27.4
2020/5,,37,36.4,36.4
2020/6,,47.9,46.8,46.8
2020/7,,50.3,50,50
2020/8,,54.6,54.7,54.7
2020/9,,54.3,54.4,54.4
2020/10,,56.3,55.5,55.5
2020/11,,58.6,57.9,57.9
2020/12,,55.3,55.7,55.7
2021/1,,58.7,58,58
2021/2,,59.5,58.8,58.8
2021/3,,59.7,59.1,59.1
2021/4,,63.5,62.2,62.2
2021/5,,68.7,68.1,68.1
2021/6,,63.7,63.9,63.9
2021/7,,59.9,59.7,59.7
2021/8,,55.4,55.4,55.4
2021/9,,55,54.5,54.5
2021/10,,57.6,57.3,57.3
2021/11,,57.2,56.5,56.5
2021/12,,57,56.9,56.9
2022/1,,51.1,50.8,50.8
2022/2,,55.9,56,56
2022/3,,57.7,58.5,58.5
2022/4,,56,55.1,55.1
2022/5,,53.6,53.8,53.8
2022/6,,52.3,51.2,51.2
2022/7,,47.7,47.5,47.5
2022/8,,44.6,45,45
2022/9,,49.5,49.3,49.3
2022/10,,48.2,47.3,47.3
2022/11,,46.4,46.3,46.3
2022/12,,45,44.6,44.6
2023/1,,46.8,46.6,46.6
2023/2,,50.1,50.2,50.2
2023/3,,52.3,53.3,53.3
2023/4,,53.4,46.6,46.6
2023/5,,54.3,54.5,54.5
2023/6,,53.2,53,53
2023/7,,52,52,52
2023/8,,50.2,50.4,50.4
2023/9,,50.2,50.1,50.1
2023/10,,50.7,51,51
2023/11,,50.7,50.7,50.7
2023/12,,51,50.7,50.7
2024/1,,50.9,51,51
2024/2,,52,51,50.9
2024/3,,52.5,52.4,52
2024/4,,52.1,53,52.5
2024/5,,51.3,51.2,52.1
2024/6,,54.5,51.3,51.3
2024/7,,54.8,52.7,54.5
2024/8,,54.3,53.2,54.8
2024/9,,54.6,53.4,54.3
2024/10,,54,53.9,54.6
2024/11,,54.1,55.2,54
2024/12,,54.9,54.8,54.1
2025/1,,55.4,54.5,54.9
2025/2,,52.7,54.7,55.4
2025/3,,51.6,54.2,52.7
2025/4,,53.5,53,51.6
2025/5,,51.2,52.2,53.5
2025/6,,52.1,51.4,51.2
2025/7,,52.8,51.4,52.1
2025/8,,54.6,52,52.8
2025/9,,55.4,53.4,54.6
2025/10,,53.6,55,55.4
2025/11,,54.8,54.8,53.6
2025/12,,52.7,53,54.2
