公表日,時間,結果,予想,前回
2015/1,,52.7,,52.3
2015/2,,53.7,,53.9
2015/3,,54.2,,54.3
2015/4,,54.1,,53.7
2015/5,,53.8,,53.3
2015/6,,54.4,,54.4
2015/7,,54,,53.8
2015/8,,54.4,,54.3
2015/9,,53.7,,54
2015/10,,54.1,,54.2
2015/11,,54.2,,54.6
2015/12,,54.2,,53.9
2016/1,,53.6,,53.6
2016/2,,53.3,,53
2016/3,,53.1,,54
2016/4,,53.1,,53.2
2016/5,,53.3,,53.1
2016/6,,52.8,,52.4
2016/7,,52.9,,52.7
2016/8,,52.8,,53.1
2016/9,,52.2,,52.1
2016/10,,52.8,,53.5
2016/11,,53.8,,54.1
2016/12,,53.7,,53.1
2017/1,,53.7,,53.6
2017/2,,55.5,,55.6
2017/3,,56,,56.5
2017/4,,56.4,56.2,56.2
2017/5,,56.3,55.9,56.2
2017/6,,55.4,55.5,54.7
2017/7,,55.4,55.5,55.4
2017/8,,54.7,55.2,54.9
2017/9,,55.8,55.2,55.6
2017/10,,55,54.9,54.9
2017/11,,56.2,55.2,56.2
2017/12,,56.6,56,56.5
2018/1,,58,57.2,57.6
2018/2,,56.2,57.4,56.7
2018/3,,54.9,55.6,55
2018/4,,54.7,55,55
2018/5,,53.8,54.3,53.9
2018/6,,55.2,54.4,55
2018/7,,54.2,54.8,54.4
2018/8,,54.4,54.3,54.4
2018/9,,54.7,54.5,54.7
2018/10,,53.7,54.1,53.3
2018/11,,53.4,52.9,53.1
2018/12,,51.2,51.3,51.4
2019/1,,51.2,50.8,50.8
2019/2,,52.8,52.3,52.3
2019/3,,53.3,52.7,52.7
2019/4,,52.8,52.5,52.5
2019/5,,52.9,52.5,52.5
2019/6,,53.6,53.4,53.4
2019/7,,53.2,53.3,53.3
2019/8,,53.5,53.4,53.4
2019/9,,51.6,52,52
2019/10,,52.2,51.8,51.8
2019/11,,51.9,51.5,51.5
2019/12,,52.8,52.4,52.4
2020/1,,52.5,52.2,52.2
2020/2,,52.6,52.8,52.8
2020/3,,26.4,28.4,28.4
2020/4,,12,11.7,11.7
2020/5,,30.5,28.7,28.7
2020/6,,48.3,47.3,47.3
2020/7,,54.7,55.1,55.1
2020/8,,50.5,50.1,50.1
2020/9,,48,47.6,47.6
2020/10,,46.9,46.2,46.2
2020/11,,41.7,41.3,41.3
2020/12,,46.4,47.3,47.3
2021/1,,45.4,45,45
2021/2,,45.7,44.7,44.7
2021/3,,49.6,48.8,48.8
2021/4,,50.5,50.3,50.3
2021/5,,55.2,55.1,55.1
2021/6,,58.3,58,58
2021/7,,59.8,60.4,60.4
2021/8,,59,59.7,59.7
2021/9,,56.4,56.3,56.3
2021/10,,54.6,54.7,54.7
2021/11,,55.9,56.6,56.6
2021/12,,53.1,53.3,53.3
2022/1,,51.1,51.2,51.2
2022/2,,55.5,55.8,55.8
2022/3,,55.6,54.8,54.8
2022/4,,57.7,57.7,57.7
2022/5,,56.1,56.3,56.3
2022/6,,53,52.8,52.8
2022/7,,51.2,50.6,50.6
2022/8,,49.8,50.2,50.2
2022/9,,48.8,48.9,48.9
2022/10,,48.6,48.2,48.2
2022/11,,48.5,48.6,48.6
2022/12,,49.8,49.1,49.1
2023/1,,50.8,50.7,50.7
2023/2,,52.7,53,53
2023/3,,55,55.6,55.6
2023/4,,56.2,56.6,56.6
2023/5,,55.1,55.9,55.9
2023/6,,52,52.4,52.4
2023/7,,50.9,51.1,51.1
2023/8,,47.9,48.3,48.3
2023/9,,48.7,48.4,48.4
2023/10,,47.8,47.8,47.8
2023/11,,48.7,48.2,48.2
2023/12,,48.8,48.1,48.1
2024/1,,48.4,48.4,48.4
2024/2,,50.2,50,50
2024/3,,51.5,51.1,51.1
2024/4,,53.3,52.9,52.9
2024/5,,53.2,53.3,53.3
2024/6,,52.8,52.6,52.6
2024/7,,51.9,51.9,51.9
2024/8,,52.9,53.3,53.3
2024/9,,51.4,50.5,50.5
2024/10,,51.6,51.2,51.2
2024/11,,49.5,49.2,49.2
2024/12,,51.6,51.4,51.4
2025/1,,51.3,51.4,51.4
2025/2,,50.6,50.7,50.7
2025/3,,51,50.4,50.4
2025/4,,50.1,49.7,49.7
2025/5,,49.7,48.9,48.9
2025/6,,50.5,50,50
2025/7,,51,51.2,51.2
2025/8,,50.5,50.7,50.7
2025/9,,51.3,,51.4
2025/10,,53,52.6,52.6
2025/11,,53.6,53.1,53.1
2025/12,,,,
