公表日,時間,結果,予想,前回
2015/1,,52.6,,52.2
2015/2,,53.3,,53.5
2015/3,,54,,54.1
2015/4,,53.9,,53.5
2015/5,,53.6,,53.4
2015/6,,54.2,,54.1
2015/7,,53.9,,53.7
2015/8,,54.3,,54.1
2015/9,,53.6,,53.9
2015/10,,53.9,,54
2015/11,,54.2,,54.4
2015/12,,54.3,,54
2016/1,,53.6,,53.5
2016/2,,53,,52.7
2016/3,,53.1,,53.7
2016/4,,53,,53
2016/5,,53.1,,52.9
2016/6,,53.1,,52.8
2016/7,,53.2,,52.9
2016/8,,52.9,,53.3
2016/9,,52.6,,52.6
2016/10,,53.3,,53.7
2016/11,,53.9,,53.7
2016/12,,54.4,,53.9
2017/1,,54.4,,54.3
2017/2,,56,,56
2017/3,,56.4,,56.7
2017/4,,56.8,56.8,56.7
2017/5,,56.8,57,56.8
2017/6,,56.3,56.4,55.7
2017/7,,55.7,56.2,55.8
2017/8,,55.7,55.9,55.8
2017/9,,56.7,56.3,56.7
2017/10,,56,56.3,55.9
2017/11,,57.5,57.1,57.5
2017/12,,58.1,58.4,58
2018/1,,58.8,58.7,58.6
2018/2,,57.1,57.9,57.5
2018/3,,55.2,54.6,55.3
2018/4,,55.1,54.6,55.2
2018/5,,54.1,54.2,54.1
2018/6,,54.9,54.5,54.8
2018/7,,54.3,54.7,54.3
2018/8,,54.5,54.4,54.4
2018/9,,54.1,54.4,54.2
2018/10,,53.1,53.5,52.7
2018/11,,52.7,52.2,52.4
2018/12,,51.1,51.5,51.3
2019/1,,51,50.7,50.7
2019/2,,51.9,51.4,51.4
2019/3,,51.6,51.3,51.3
2019/4,,51.5,51.3,51.3
2019/5,,51.8,51.6,51.6
2019/6,,52.2,52.1,52.1
2019/7,,51.5,51.5,51.5
2019/8,,51.9,51.8,51.8
2019/9,,50.1,50.4,50.4
2019/10,,50.6,50.2,50.2
2019/11,,50.6,50.3,50.3
2019/12,,50.9,50.6,50.6
2020/1,,51.3,50.9,50.9
2020/2,,51.6,51.6,51.6
2020/3,,29.7,31.4,31.4
2020/4,,13.6,13.5,13.5
2020/5,,31.9,30.5,30.5
2020/6,,48.5,47.5,47.5
2020/7,,54.9,54.8,54.8
2020/8,,51.9,51.6,51.6
2020/9,,50.4,50.1,50.1
2020/10,,50,49.4,49.4
2020/11,,45.3,45.1,45.1
2020/12,,49.1,49.8,49.8
2021/1,,47.8,47.5,47.5
2021/2,,48.8,48.1,48.1
2021/3,,53.2,52.5,52.5
2021/4,,53.8,53.7,53.7
2021/5,,57.1,56.9,56.9
2021/6,,59.5,59.2,59.2
2021/7,,60.2,60.6,60.6
2021/8,,59,59.5,59.5
2021/9,,56.2,56.1,56.1
2021/10,,54.2,54.3,54.3
2021/11,,55.4,55.8,55.8
2021/12,,53.3,53.4,53.4
2022/1,,52.3,52.4,52.4
2022/2,,55.5,55.8,55.8
2022/3,,54.9,54.5,54.5
2022/4,,55.8,55.8,55.8
2022/5,,54.8,54.9,54.9
2022/6,,52,51.9,51.9
2022/7,,49.9,49.4,49.4
2022/8,,48.9,49.2,49.2
2022/9,,48.1,48.2,48.2
2022/10,,47.3,47.1,47.1
2022/11,,47.8,47.8,47.8
2022/12,,49.3,48.8,48.8
2023/1,,50.3,50.2,50.2
2023/2,,52,52.3,52.3
2023/3,,53.7,54.1,54.1
2023/4,,54.1,54.4,54.4
2023/5,,52.8,53.3,53.3
2023/6,,49.9,50.3,50.3
2023/7,,48.6,48.9,48.9
2023/8,,46.7,47,47
2023/9,,47.2,47.1,47.1
2023/10,,46.5,46.5,46.5
2023/11,,47.6,47.1,47.1
2023/12,,47.6,47,47
2024/1,,47.9,47.9,47.9
2024/2,,49.2,48.9,48.9
2024/3,,50.3,49.9,49.9
2024/4,,51.7,51.4,51.4
2024/5,,52.2,52.3,52.3
2024/6,,50.9,50.8,50.8
2024/7,,50.2,50.1,50.1
2024/8,,51,51.2,51.2
2024/9,,49.6,48.9,48.9
2024/10,,50,49.7,49.7
2024/11,,48.3,48.1,48.1
2024/12,,49.6,49.5,49.5
2025/1,,50.2,50.2,50.2
2025/2,,50.2,50.2,50.2
2025/3,,50.9,50.4,50.4
2025/4,,50.4,50.1,50.1
2025/5,,50.2,49.5,49.5
2025/6,,50.6,50.2,50.2
2025/7,,50.9,51,51
2025/8,,51,51.1,51.1
2025/9,,51.2,,51.2
2025/10,,52.5,52.2,52.2
2025/11,,52.8,52.4,52.4
2025/12,,,,
